Prop ID,Prompt Dialogue 1 (Thought),Prompt Dialogue 2 (Action),Prompt Dialogue 3 (Action),Prompt Dialogue 4 (Action),etc
, I know the best way to let people know I'm 7% Greek?,"You throw a {0n} at the ground and yell, ""OPA!"" Your co-worker stares longingly at their broken {0n}.",,,
,Should I tell people my favourite movie or show them? ,Do a rendition of Flashdance using your {0n} as the chair and soaking yourself with coffee. One person claps.,,,
,I'd make a great bond villain.,Your co-worker enters. You swivel around stroking the {0n} as if it was a cat. They try to ignore you.,,,
,A d*ck on the bathroom wall! There is only one way to right this wrong?,"You carve a vagina overtop the penis using a {0n}. Georgia O'Keeffe would have been proud, the same can't be said for the office.",,,
,I know how to get more likes on selfies I post.,You snap a selfie as you {0v} a {0n} and post it.You get one like and a lot of questions.,,,
,This is a good time to juggle.,You juggle a co-worker's {0n}. Only thing not up in the air is their option of you.,,,
,What can patch this hole?,You cram a {0n} into the hole. Your boss unapprovingly puts a poster over your patch job.,,,
,"My potluck dish is missing something, but what?","You ad a dash of {0n} and a hint of {0n}. Tasting your dish, your co-worker's expression says it all.",,,
,How should I reorder the customer filing system?,You organize the files by which customers look most like a {0n}. No one can find anything.,,,
,Some {0n} make me feel a certain way. This demands a ratings list.,People read which {0n} you'd most like to {0v} and gasp.,,,
,How does this safety meeting not include the dangers of {0n}s?,You derail the meeting with a long speech about the threat of aggressive {0n}s. HR issues a memo.,,,
,"This office smells funny, it needs more {0n} scent. ",You bottle the scent of {0n} and spray the office. It's horrific.,,,
,No one knows that {0n}s are corrupting our youth. ,You give a seminar on {0n}s controlling teenager's minds. People stop mentioning they have kids.,,,
,I hate fluorescent lights. {0n} are the solution?,"You throw {0n} at the lights, raining glass down on the office. Only thing you see is everyone dislike of your actions. ",,,
,"I need a catch phrase... ""{0v} the {0n} in the butt""","The catch phrase spreads, but in a sarcastic ""this is terrible"" way.",,,
,What's an interesting regret to say I have?,You explain that your biggest regret is that you didn't {0v} enough {0n}s. People stop asking about your life.,,,
,I used to love creating pamphlets in school. Why did I stop?,You distribute a pamphlet on {0n}s that would {0v} a {1n}. Your boss burns them to make a point.,,,
,The fish tank is missing a {0n}.,You add several {0n}s to the fish tank. Your co-workers look sad. The fish look dead.,,,
,The office doorbell chime could use some pizazz.,You replace the door chime with the sound of a {0n} hitting a {1n}. You're questioned on how you got the live sound samples.,,,
,This office lacks character. I could make a statue out of {0n}s.,You admire your {0n} statue with the body of The David and a face with your likeness. It's hideous and not to scale.,,,
,"I feel eristic, and need to debate the meaning of idioms.",You argue that raining cats and dogs isn't correct. The correct idiom is raining {0n}s and {1n}s. Your opinion means very little.,,,
,I should claim eating {0n}s is great for your skin.,You take a bite out of a {0n} and explain your theory. Your co-worker regrets asking you for lotion.,,,
,"""Where do I see myself in five years?""","You explain how in five years, you and the boss will {0v} The Prime Minister of Canada.",,,
,I should purchase a t-shirt cannon and load it with a {0n}.,"You fire {0n} across the office, hitting a {1n}, a {2n} and a {3n}. Policy is updated to include t-shirt cannons as a weapon.",,,
,My business cards need a more modern slogan.,"Your boss calls you in to explain why your card reads,  ""Greys Incorporated! We {0v} the {0n}."" ",,,
,What if I was in a parallel universe where I have to {0v} my colleagues?,"In this universe, you get slapped for that.",,,
,"I need to fill a treasure chest with every {0n} in the office and call it ""me booty""",It's the booty thing people really object to.,,,
,The onboarding process is missing a key factor.,You crash a new-hire's interview and show them how you {0v} a {0n}. You're asked to apologize and then ushered out.,,,
